"Step","random_None - extra_val_metric_0","random_None - extra_val_metric_0__MIN","random_None - extra_val_metric_0__MAX","random_None - mean_absolute_percentage_error","random_None - mean_absolute_percentage_error__MIN","random_None - mean_absolute_percentage_error__MAX","random_seg - extra_val_metric_0","random_seg - extra_val_metric_0__MIN","random_seg - extra_val_metric_0__MAX","random_seg - mean_absolute_percentage_error","random_seg - mean_absolute_percentage_error__MIN","random_seg - mean_absolute_percentage_error__MAX","random_no2_2 - extra_val_metric_0","random_no2_2 - extra_val_metric_0__MIN","random_no2_2 - extra_val_metric_0__MAX","random_no2_2 - mean_absolute_percentage_error","random_no2_2 - mean_absolute_percentage_error__MIN","random_no2_2 - mean_absolute_percentage_error__MAX"
"298","24.946895599365234","24.946895599365234","24.946895599365234","","","","25.147981643676758","25.147981643676758","25.147981643676758","","","","34.04887390136719","34.04887390136719","34.04887390136719","","",""
"300","","","","38.95234298706055","38.95234298706055","38.95234298706055","","","","32.79823303222656","32.79823303222656","32.79823303222656","","","","24.66893768310547","24.66893768310547","24.66893768310547"
"303","25.682373046875","25.682373046875","25.682373046875","","","","30.13803482055664","30.13803482055664","30.13803482055664","","","","40.4736442565918","40.4736442565918","40.4736442565918","","",""
"305","","","","38.584049224853516","38.584049224853516","38.584049224853516","","","","32.65628433227539","32.65628433227539","32.65628433227539","","","","24.27108383178711","24.27108383178711","24.27108383178711"
"308","26.0013484954834","26.0013484954834","26.0013484954834","","","","24.86646270751953","24.86646270751953","24.86646270751953","","","","34.181819915771484","34.181819915771484","34.181819915771484","","",""
"310","","","","38.114437103271484","38.114437103271484","38.114437103271484","","","","32.165870666503906","32.165870666503906","32.165870666503906","","","","24.547908782958984","24.547908782958984","24.547908782958984"
"313","24.265586853027344","24.265586853027344","24.265586853027344","","","","28.666751861572266","28.666751861572266","28.666751861572266","","","","38.22776412963867","38.22776412963867","38.22776412963867","","",""
"315","","","","38.27927017211914","38.27927017211914","38.27927017211914","","","","32.283931732177734","32.283931732177734","32.283931732177734","","","","24.05628204345703","24.05628204345703","24.05628204345703"
"318","26.12975311279297","26.12975311279297","26.12975311279297","","","","24.220603942871094","24.220603942871094","24.220603942871094","","","","37.499813079833984","37.499813079833984","37.499813079833984","","",""
"320","","","","38.64691162109375","38.64691162109375","38.64691162109375","","","","32.280921936035156","32.280921936035156","32.280921936035156","","","","24.097270965576172","24.097270965576172","24.097270965576172"
"323","26.372007369995117","26.372007369995117","26.372007369995117","","","","28.13255500793457","28.13255500793457","28.13255500793457","","","","38.9538688659668","38.9538688659668","38.9538688659668","","",""
"325","","","","37.99858856201172","37.99858856201172","37.99858856201172","","","","32.67823028564453","32.67823028564453","32.67823028564453","","","","23.859907150268555","23.859907150268555","23.859907150268555"
"328","26.40099334716797","26.40099334716797","26.40099334716797","","","","29.642086029052734","29.642086029052734","29.642086029052734","","","","35.33292007446289","35.33292007446289","35.33292007446289","","",""
"330","","","","38.02005386352539","38.02005386352539","38.02005386352539","","","","32.22623825073242","32.22623825073242","32.22623825073242","","","","23.633039474487305","23.633039474487305","23.633039474487305"
"333","25.223026275634766","25.223026275634766","25.223026275634766","","","","28.945573806762695","28.945573806762695","28.945573806762695","","","","36.77815628051758","36.77815628051758","36.77815628051758","","",""
"335","","","","37.65142059326172","37.65142059326172","37.65142059326172","","","","32.46895217895508","32.46895217895508","32.46895217895508","","","","23.79140853881836","23.79140853881836","23.79140853881836"
"338","25.643943786621094","25.643943786621094","25.643943786621094","","","","26.883081436157227","26.883081436157227","26.883081436157227","","","","27.838069915771484","27.838069915771484","27.838069915771484","","",""
"340","","","","37.67118835449219","37.67118835449219","37.67118835449219","","","","32.45444107055664","32.45444107055664","32.45444107055664","","","","23.94961929321289","23.94961929321289","23.94961929321289"
"343","24.82503318786621","24.82503318786621","24.82503318786621","","","","29.068716049194336","29.068716049194336","29.068716049194336","","","","37.08472442626953","37.08472442626953","37.08472442626953","","",""
"345","","","","37.967506408691406","37.967506408691406","37.967506408691406","","","","31.688318252563477","31.688318252563477","31.688318252563477","","","","23.8581600189209","23.8581600189209","23.8581600189209"
"348","26.34750747680664","26.34750747680664","26.34750747680664","","","","24.806289672851562","24.806289672851562","24.806289672851562","","","","31.759504318237305","31.759504318237305","31.759504318237305","","",""
"350","","","","37.999534606933594","37.999534606933594","37.999534606933594","","","","32.29354476928711","32.29354476928711","32.29354476928711","","","","23.560590744018555","23.560590744018555","23.560590744018555"
"353","24.520061492919922","24.520061492919922","24.520061492919922","","","","29.45988655090332","29.45988655090332","29.45988655090332","","","","34.63188552856445","34.63188552856445","34.63188552856445","","",""
"355","","","","38.49480438232422","38.49480438232422","38.49480438232422","","","","31.764223098754883","31.764223098754883","31.764223098754883","","","","23.75852394104004","23.75852394104004","23.75852394104004"
"358","26.466480255126953","26.466480255126953","26.466480255126953","","","","25.49884605407715","25.49884605407715","25.49884605407715","","","","34.14582061767578","34.14582061767578","34.14582061767578","","",""
