"Step","random_None - extra_val_metric_0","random_None - extra_val_metric_0__MIN","random_None - extra_val_metric_0__MAX","random_None - mean_absolute_percentage_error","random_None - mean_absolute_percentage_error__MIN","random_None - mean_absolute_percentage_error__MAX","random_seg - extra_val_metric_0","random_seg - extra_val_metric_0__MIN","random_seg - extra_val_metric_0__MAX","random_seg - mean_absolute_percentage_error","random_seg - mean_absolute_percentage_error__MIN","random_seg - mean_absolute_percentage_error__MAX","random_no2 - extra_val_metric_0","random_no2 - extra_val_metric_0__MIN","random_no2 - extra_val_metric_0__MAX","random_no2 - mean_absolute_percentage_error","random_no2 - mean_absolute_percentage_error__MIN","random_no2 - mean_absolute_percentage_error__MAX"
"240","","","","40.93943405151367","40.93943405151367","40.93943405151367","","","","30.173852920532227","30.173852920532227","30.173852920532227","","","","25.940345764160156","25.940345764160156","25.940345764160156"
"243","27.75499725341797","27.75499725341797","27.75499725341797","","","","33.06217956542969","33.06217956542969","33.06217956542969","","","","38.94983673095703","38.94983673095703","38.94983673095703","","",""
"245","","","","40.54296875","40.54296875","40.54296875","","","","30.0781192779541","30.0781192779541","30.0781192779541","","","","26.051517486572266","26.051517486572266","26.051517486572266"
"248","28.989824295043945","28.989824295043945","28.989824295043945","","","","26.836339950561523","26.836339950561523","26.836339950561523","","","","36.866580963134766","36.866580963134766","36.866580963134766","","",""
"250","","","","40.2374153137207","40.2374153137207","40.2374153137207","","","","29.873918533325195","29.873918533325195","29.873918533325195","","","","26.16266632080078","26.16266632080078","26.16266632080078"
"253","29.549055099487305","29.549055099487305","29.549055099487305","","","","32.15773391723633","32.15773391723633","32.15773391723633","","","","34.97158432006836","34.97158432006836","34.97158432006836","","",""
"255","","","","40.428470611572266","40.428470611572266","40.428470611572266","","","","29.93661880493164","29.93661880493164","29.93661880493164","","","","26.022905349731445","26.022905349731445","26.022905349731445"
"258","25.988948822021484","25.988948822021484","25.988948822021484","","","","30.80080795288086","30.80080795288086","30.80080795288086","","","","36.30442810058594","36.30442810058594","36.30442810058594","","",""
"260","","","","39.755714416503906","39.755714416503906","39.755714416503906","","","","28.631025314331055","28.631025314331055","28.631025314331055","","","","25.895465850830078","25.895465850830078","25.895465850830078"
"263","23.449798583984375","23.449798583984375","23.449798583984375","","","","31.14577865600586","31.14577865600586","31.14577865600586","","","","40.92457962036133","40.92457962036133","40.92457962036133","","",""
"265","","","","40.11439514160156","40.11439514160156","40.11439514160156","","","","28.472272872924805","28.472272872924805","28.472272872924805","","","","25.79835319519043","25.79835319519043","25.79835319519043"
